_id,label,id,token,sentence
Q560307_75,EVENT,90_nlkYZBN,said,20
,,,:,20
,,,"""",20
,,,He,20
,,,never,20
,,,told,20
,,,us,20
,,,that,20
,,,he,20
,,,'d,20
,,,seen,20
,,,bodies,20
,,,.,20
,,,But,21
,,,he,21
,,,had,21
,,,seen,21
,,,them,21
,,,.,21
,,,And,22
,,,that,22
,,,was,22
,,,too,22
,,,traumatic,22
,,,",",22
,,,I,22
,,,think,22
,,,",",22
,,,for,22
,,,him,22
,,,.,22
,,,"""",23
,,,Soon,23
,,,after,23
,,,the,23
,,,lynching,23
,,,",",23
,,,George,23
,,,Wofford,23
,,,moved,23
,,,to,23
,,,the,23
,,,racially,23
,,,integrated,23
,,,town,23
,,,of,23
,,,Lorain,23
,,,",",23
,,,Ohio,23
,,,",",23
,,,in,23
,,,the,23
,,,hope,23
,,,of,23
,,,escaping,23
,,,racism,23
,,,and,23
,,,securing,23
,,,gainful,23
,,,employment,23
,,,in,23
,,,Ohio,23
,,,'s,23
,,,burgeoning,23
,,,industrial,23
,,,economy,23
,,,.,23
,,,He,24
,,,worked,24
,,,odd,24
,,,jobs,24
,,,and,24
,,,as,24
,,,a,24
,,,welder,24
,,,for,24
,,,U.S.,24
,,,Steel,24
,,,.,24
,,,Traumatized,25
,,,by,25
,,,his,25
,,,experiences,25
,,,of,25
,,,racism,25
,,,",",25
,,,in,25
,,,a,25
,,,2015,25
,,,interview,25
Q560307_76,ENTITY,sWKFtw482q,Morrison,25
Q560307_77,EVENT,9cl2Phs3bN,said,25
,,,her,25
,,,father,25
,,,hated,25
,,,whites,25
,,,so,25
,,,much,25
,,,he,25
,,,would,25
,,,not,25
,,,let,25
,,,them,25
,,,in,25
,,,the,25
,,,house,25
,,,.,25
,,,When,26
,,,Morrison,26
,,,was,26
,,,about,26
,,,two,26
,,,years,26
,,,old,26
,,,",",26
,,,her,26
,,,family,26
,,,'s,26
,,,landlord,26
,,,set,26
,,,fire,26
,,,to,26
,,,the,26
,,,house,26
,,,in,26
,,,which,26
Q560307_79,ENTITY,Kfz5sXOffo,they,26
Q560307_78,EVENT,_7EKC9W-1v,lived,26
,,,",",26
,,,while,26
,,,they,26
Q560307_80,EVENT,JgY8L526Ps,were,26
,,,home,26
,,,",",26
,,,because,26
,,,her,26
,,,parents,26
,,,could,26
,,,not,26
,,,afford,26
,,,to,26
,,,pay,26
,,,rent,26
,,,.,26
Q560307_81,ENTITY,o4O0JBLSXS,Her,27
Q560307_82,ENTITY,o4O0JBLSXS,family,27
Q560307_83,EVENT,u3e8HbL9cU,responded,27
,,,to,27
,,,what,27
Q560307_496,ENTITY,7rXdbkjPPD,she,27
Q560307_497,EVENT,o4PBlS8G4V,called,27
,,,this,27
,,,"""",27
,,,bizarre,27
,,,form,27
,,,of,27
,,,evil,27
,,,"""",27
,,,by,27
Q560307_84,EVENT,0LH7I9murg,laughing,27
,,,at,27
,,,the,27
,,,landlord,27
,,,rather,27
,,,than,27
,,,falling,27
,,,into,27
,,,despair,27
,,,.,27
Q560307_85,ENTITY,-tnycHjvRQ,Morrison,28
,,,later,28
Q560307_86,EVENT,zcJj8-eiI1,said,28
Q560307_87,ENTITY,k6ZVXRheIW,her,28
Q560307_88,ENTITY,k6ZVXRheIW,family,28
Q560307_89,ENTITY,k6ZVXRheIW,'s,28
Q560307_90,EVENT,LW2wGwVJVF,response,28
Q560307_91,EVENT,n1fDTrKRb0,demonstrated,28
,,,how,28
,,,to,28
Q560307_92,EVENT,HLgYRCXSun,keep,28
,,,your,28
,,,integrity,28
,,,and,28
,,,claim,28
,,,your,28
,,,own,28
,,,life,28
,,,in,28
,,,the,28
,,,face,28
,,,of,28
,,,acts,28
,,,of,28
,,,such,28
,,,"""",28
,,,monumental,28
,,,crudeness,28
,,,.,28
,,,"""",29
,,,Morrison,29
,,,'s,29
,,,parents,29
Q560307_95,EVENT,MHw_ja3bXk,instilled,29
,,,in,29
Q560307_94,ENTITY,c2_OvORmCo,her,29
,,,a,29
,,,sense,29
,,,of,29
,,,heritage,29
,,,and,29
,,,language,29
,,,through,29
,,,telling,29
,,,traditional,29
,,,African,29
,,,-,29
,,,American,29
,,,folktales,29
,,,",",29
,,,ghost,29
,,,stories,29
,,,",",29
,,,and,29
,,,singing,29
,,,songs,29
,,,.,29
Q560307_96,ENTITY,Iu9pXYiu_q,Morrison,30
,,,also,30
Q560307_97,EVENT,U2v2mzOUfs,read,30
,,,frequently,30
,,,as,30
,,,a,30
,,,child,30
,,,;,30
,,,among,30
,,,her,30
,,,favorite,30
,,,authors,30
,,,were,30
,,,Jane,30
,,,Austen,30
,,,and,30
,,,Leo,30
,,,Tolstoy,30
,,,.,30
Q560307_98,ENTITY,M4T5RvTURI,She,31
Q560307_99,EVENT-GR,TmX04ou51x,became,31
,,,a,31
Q560307_100,EVENT,Z9AwmtSYyY,Catholic,31
,,,at,31
,,,the,31
,,,age,31
,,,of,31
,,,12,31
,,,and,31
Q560307_101,EVENT-GR,MiuvsWwgQj,took,31
,,,the,31
,,,baptismal,31
Q560307_102,EVENT,zjqDT8rwRJ,name,31
,,,Anthony,31
,,,(,31
,,,after,31
,,,Anthony,31
,,,of,31
,,,Padua,31
,,,),31
,,,",",31
,,,which,31
,,,led,31
,,,to,31
,,,her,31
,,,nickname,31
,,,",",31
,,,Toni,31
,,,.,31
Q560307_103,EVENT,uFDmhmhkIL,Attending,32
,,,Lorain,32
,,,High,32
,,,School,32
,,,",",32
Q560307_104,ENTITY,kYTnAsCKXu,she,32
Q560307_105,EVENT,e4-vE06qQJ,was,32
,,,on,32
,,,the,32
,,,debate,32
,,,team,32
,,,",",32
,,,the,32
,,,yearbook,32
,,,staff,32
,,,",",32
,,,and,32
,,,in,32
,,,the,32
,,,drama,32
,,,club,32
,,,.,32
,,,In,33
,,,1949,33
,,,",",33
Q560307_106,ENTITY,di_dNqtO9t,she,33
Q560307_107,EVENT,7UDehtUi_q,enrolled,33
,,,at,33
,,,Howard,33
,,,University,33
,,,in,33
,,,Washington,33
,,,",",33
,,,D.C.,33
,,,",",33
Q560307_108,EVENT,PhSvl8jYaL,seeking,33
,,,the,33
Q560307_109,EVENT,uxjy5vLDm7,company,33
,,,of,33
,,,fellow,33
,,,black,33
,,,intellectuals,33
,,,.,33
,,,It,34
,,,was,34
,,,while,34
,,,at,34
,,,Howard,34
,,,that,34
Q560307_110,ENTITY,awUOK4P0q-,she,34
Q560307_111,EVENT,Dj8Y3Fv4-z,encountered,34
,,,racially,34
,,,segregated,34
,,,restaurants,34
,,,and,34
,,,buses,34
,,,for,34
,,,the,34
,,,first,34
,,,time,34
,,,.,34
Q560307_112,ENTITY,8_FxQQaXhp,She,35
Q560307_113,EVENT,d-ooMnDt7K,graduated,35
Q560307_93,ENTITY,c2_OvORmCo,in,35
,,,1953,35
,,,with,35
,,,a,35
,,,B.A.,35
,,,in,35
,,,English,35
,,,and,35
Q560307_114,EVENT,35wirfGAVe,went,35
,,,on,35
,,,to,35
,,,earn,35
,,,a,35
Q560307_115,EVENT,x5EjuAkhWq,Master,35
,,,of,35
,,,Arts,35
,,,from,35
,,,Cornell,35
,,,University,35
,,,in,35
,,,1955,35
,,,.,35
Q560307_116,ENTITY,WIhqgZVKd7,Her,36
Q560307_117,ENTITY,WIhqgZVKd7,master,36
Q560307_118,ENTITY,WIhqgZVKd7,'s,36
Q560307_119,ENTITY,WIhqgZVKd7,thesis,36
,,,was,36
Q560307_120,EVENT,AMLtEko53Q,titled,36
,,,"""",36
,,,Virginia,36
,,,Woolf,36
,,,'s,36
,,,and,36
,,,William,36
,,,Faulkner,36
,,,'s,36
,,,treatment,36
,,,of,36
,,,the,36
,,,alienated,36
,,,.,36
,,,"""",37
Q560307_121,ENTITY,Y7l7t6MsuH,She,37
Q560307_122,EVENT,nQ6RC9vXM5,taught,37
,,,English,37
,,,",",37
,,,first,37
,,,at,37
,,,Texas,37
,,,Southern,37
,,,University,37
,,,in,37
,,,Houston,37
,,,from,37
,,,1955,37
,,,to,37
,,,1957,37
,,,",",37
,,,and,37
,,,then,37
,,,at,37
,,,Howard,37
,,,University,37
,,,for,37
,,,the,37
,,,next,37
,,,seven,37
,,,years,37
,,,.,37
,,,While,38
Q560307_123,EVENT,x64paDBYFm,teaching,38
,,,at,38
,,,Howard,38
,,,",",38
Q560307_124,ENTITY,e2XMWfSQ-2,she,38
Q560307_125,EVENT,29H89bXpan,met,38
,,,Harold,38
,,,Morrison,38
,,,",",38
,,,a,38
,,,Jamaican,38
,,,architect,38
,,,",",38
,,,whom,38
Q560307_126,ENTITY,6ysB46wyZ_,she,38
Q560307_127,EVENT,h3ZZPZw3n8,married,38
,,,in,38
,,,1958,38
,,,.,38
,,,Their,39
,,,first,39
,,,son,39
,,,was,39
,,,born,39
,,,in,39
,,,1961,39
,,,and,39
Q560307_128,ENTITY,T9q1m0OHB8,she,39
Q560307_130,EVENT-GR,5-cMrFTC6v,was,39
Q560307_129,EVENT,Sr_JG27BkX,pregnant,39
,,,with,39
,,,their,39
,,,second,39
,,,son,39
,,,when,39
Q560307_498,ENTITY,mS52YUBc6T,she,39
,,,and,39
,,,Harold,39
Q560307_131,EVENT,PrqZK52jM7,divorced,39
,,,in,39
,,,1964,39
,,,.,39
,,,After,40
Q560307_132,ENTITY,G0XBegJ6vL,her,40
,,,divorce,40
,,,and,40
,,,the,40
,,,birth,40
,,,of,40
,,,her,40
,,,son,40
,,,Slade,40
,,,in,40
,,,1965,40
,,,",",40
Q560307_134,ENTITY,9b0gF2S4KT,Morrison,40
Q560307_136,EVENT,Edztgc5mRh,began,40
Q560307_135,EVENT,IHEBIbUsTt,working,40
,,,as,40
,,,an,40
,,,editor,40
,,,for,40
,,,L.,40
,,,W.,40
,,,Singer,40
,,,",",40
,,,a,40
,,,textbook,40
,,,division,40
,,,of,40
,,,publisher,40
,,,Random,40
,,,House,40
,,,",",40
,,,in,40
,,,Syracuse,40
,,,",",40
,,,New,40
,,,York,40
,,,.,40
,,,Two,41
,,,years,41
,,,later,41
,,,",",41
Q560307_137,ENTITY,231Y2Ft3UD,she,41
Q560307_138,EVENT,n19brk4pjj,transferred,41
,,,to,41
,,,Random,41
,,,House,41
,,,in,41
,,,New,41
,,,York,41
,,,City,41
,,,",",41
,,,where,41
Q560307_139,ENTITY,xIjVnYazWJ,she,41
Q560307_140,EVENT-GR,aKSkyKLTxD,became,41
,,,their,41
,,,first,41
,,,black,41
,,,woman,41
,,,senior,41
Q560307_141,EVENT,CDPP13CPad,editor,41
,,,in,41
,,,the,41
,,,fiction,41
,,,department,41
,,,.,41
,,,In,42
,,,that,42
,,,capacity,42
,,,",",42
Q560307_142,ENTITY,ah1eMvrOlS,Morrison,42
Q560307_143,EVENT,48rNaluakQ,played,42
,,,a,42
,,,vital,42
,,,role,42
,,,in,42
Q560307_144,EVENT,TzpliCZApu,bringing,42
,,,Black,42
,,,literature,42
,,,into,42
,,,the,42
,,,mainstream,42
,,,.,42
,,,One,43
,,,of,43
,,,the,43
,,,first,43
,,,books,43
Q560307_145,ENTITY,5KhwXRHSH4,she,43
Q560307_146,EVENT,pickxVGOLY,worked,43
,,,on,43
,,,was,43
,,,the,43
,,,groundbreaking,43
,,,Contemporary,43
,,,African,43
,,,Literature,43
,,,(,43
,,,1972,43
,,,),43
,,,",",43
,,,a,43
,,,collection,43
,,,that,43
,,,included,43
,,,work,43
,,,by,43
,,,Nigerian,43
,,,writers,43
,,,Wole,43
,,,Soyinka,43
,,,",",43
,,,Chinua,43
,,,Achebe,43
,,,",",43
,,,and,43
,,,South,43
,,,African,43
,,,playwright,43
,,,Athol,43
,,,Fugard,43
,,,.,43
Q560307_147,ENTITY,a5NE9aKXoo,She,44
Q560307_148,EVENT,5RdcH6TGDM,fostered,44
,,,a,44
,,,new,44
,,,generation,44
,,,of,44
,,,Afro,44
,,,-,44
,,,American,44
,,,writers,44
,,,",",44
,,,including,44
,,,poet,44
,,,and,44
,,,novelist,44
,,,Toni,44
,,,Cade,44
,,,Bambara,44
,,,",",44
,,,radical,44
,,,activist,44
,,,Angela,44
,,,Davis,44
,,,",",44
,,,Black,44
,,,Panther,44
,,,Huey,44
,,,Newton,44
,,,and,44
,,,novelist,44
,,,Gayl,44
,,,Jones,44
,,,",",44
,,,whose,44
,,,writing,44
Q560307_150,ENTITY,_lQIwxgoEM,Morrison,44
Q560307_149,EVENT,onIE83Ow3v,discovered,44
,,,.,44
Q560307_151,ENTITY,OfiLvXjOPn,She,45
,,,also,45
Q560307_152,EVENT,J6tOlyr6SM,brought,45
,,,to,45
Q560307_153,EVENT,-hP7BUXYEB,publication,45
,,,the,45
,,,1975,45
,,,autobiography,45
,,,of,45
,,,the,45
,,,outspoken,45
,,,boxing,45
,,,champion,45
,,,Muhammad,45
,,,Ali,45
,,,",",45
,,,The,45
,,,Greatest,45
,,,:,45
,,,My,45
,,,Own,45
,,,Story,45
,,,.,45
,,,In,46
,,,addition,46
,,,",",46
Q560307_154,ENTITY,uHsyQGBgyf,she,46
Q560307_155,EVENT,Ec_GlS1ljB,published,46
,,,and,46
Q560307_156,EVENT,abx7AoOaB2,promoted,46
,,,the,46
,,,work,46
,,,of,46
,,,Henry,46
,,,Dumas,46
,,,",",46
,,,a,46
,,,little,46
,,,-,46
,,,known,46
,,,novelist,46
,,,and,46
,,,poet,46
,,,who,46
,,,in,46
,,,1968,46
,,,had,46
,,,been,46
,,,shot,46
,,,to,46
,,,death,46
,,,by,46
,,,a,46
,,,transit,46
,,,officer,46
,,,in,46
,,,the,46
,,,New,46
,,,York,46
,,,City,46
,,,Subway,46
,,,.,46
,,,Among,47
,,,other,47
,,,books,47
,,,that,47
Q560307_157,ENTITY,sS29MRxuZF,Morrison,47
Q560307_158,EVENT,OyKplrM8UI,developed,47
,,,and,47
Q560307_159,EVENT,ieLKOPWCGp,edited,47
,,,is,47
,,,The,47
,,,Black,47
,,,Book,47
,,,(,47
,,,1974,47
,,,),47
,,,",",47
,,,an,47
,,,anthology,47
,,,of,47
,,,photographs,47
,,,",",47
,,,illustrations,47
,,,",",47
,,,essays,47
,,,",",47
,,,and,47
,,,documents,47
,,,of,47
,,,black,47
,,,life,47
,,,in,47
,,,the,47
,,,United,47
,,,States,47
,,,from,47
,,,the,47
,,,time,47
,,,of,47
,,,slavery,47
,,,to,47
,,,the,47
,,,1920s,47
,,,.,47
,,,Random,48
,,,House,48
,,,had,48
,,,been,48
,,,uncertain,48
,,,about,48
,,,the,48
,,,project,48
,,,but,48
,,,its,48
,,,publication,48
,,,met,48
,,,with,48
,,,a,48
,,,good,48
,,,reception,48
,,,.,48
,,,Alvin,49
,,,Beam,49
,,,reviewed,49
,,,the,49
,,,anthology,49
,,,for,49
,,,the,49
,,,Cleveland,49
,,,Plain,49
,,,Dealer,49
,,,",",49
,,,writing,49
,,,:,49
,,,"""",49
,,,Editors,49
,,,",",49
,,,like,49
,,,novelists,49
,,,",",49
,,,have,49
,,,brain,49
,,,children,49
,,, ,49
,,,–,49
,,,books,49
,,,they,49
,,,think,49
,,,up,49
,,,and,49
,,,bring,49
,,,to,49
,,,life,49
,,,without,49
,,,putting,49
,,,their,49
,,,own,49
,,,names,49
,,,on,49
,,,the,49
,,,title,49
,,,page,49
,,,.,49
,,,Mrs.,50
,,,Morrison,50
,,,has,50
,,,one,50
,,,of,50
,,,these,50
,,,in,50
,,,the,50
,,,stores,50
,,,now,50
,,,",",50
,,,and,50
,,,magazines,50
,,,and,50
,,,newsletters,50
,,,in,50
,,,the,50
,,,publishing,50
,,,trade,50
,,,are,50
,,,ecstatic,50
,,,",",50
,,,saying,50
,,,it,50
,,,will,50
,,,go,50
,,,like,50
,,,hotcakes,50
,,,.,50
,,,"""",51
Q560307_160,ENTITY,XKmW_IIAtM,Morrison,51
,,,had,51
Q560307_161,EVENT,QCDQW0HaDO,begun,51
Q560307_162,EVENT,QcmOxSLeQW,writing,51
,,,fiction,51
,,,as,51
,,,part,51
,,,of,51
,,,an,51
,,,informal,51
,,,group,51
,,,of,51
,,,poets,51
,,,and,51
,,,writers,51
,,,at,51
,,,Howard,51
,,,University,51
,,,who,51
,,,met,51
,,,to,51
,,,discuss,51
,,,their,51
,,,work,51
,,,.,51
Q560307_163,ENTITY,X2xA7Ov33U,She,52
Q560307_164,EVENT,zVf-UjvFGH,attended,52
,,,one,52
,,,meeting,52
,,,with,52
,,,a,52
,,,short,52
,,,story,52
,,,about,52
,,,a,52
,,,black,52
,,,girl,52
,,,who,52
,,,longed,52
,,,to,52
,,,have,52
,,,blue,52
,,,eyes,52
,,,.,52
Q560307_166,ENTITY,C9-rXTeaLb,Morrison,53
,,,later,53
Q560307_167,EVENT,2uTrev5mDQ,developed,53
,,,the,53
,,,story,53
,,,as,53
,,,her,53
,,,first,53
,,,novel,53
,,,",",53
,,,The,53
,,,Bluest,53
,,,Eye,53
,,,",",53
Q560307_168,EVENT,-14WGdyxlR,getting,53
,,,up,53
,,,every,53
,,,morning,53
,,,at,53
,,,4,53
,,, ,53
,,,am,53
,,,to,53
,,,write,53
,,,",",53
,,,while,53
Q560307_169,EVENT,DqYsW0c07H,raising,53
,,,two,53
,,,children,53
,,,on,53
,,,her,53
,,,own,53
,,,.,53
,,,The,54
,,,Bluest,54
,,,Eye,54
,,,was,54
Q560307_170,EVENT,HLfLl0D4cA,published,54
,,,by,54
,,,Holt,54
,,,",",54
,,,Rinehart,54
,,,and,54
,,,Winston,54
,,,in,54
,,,1970,54
,,,",",54
,,,when,54
Q560307_171,ENTITY,HIvvVALuOo,Morrison,54
,,,was,54
Q560307_172,EVENT,w588Lcdsp6,aged,54
,,,39,54
,,,.,54
,,,It,55
,,,was,55
,,,favorably,55
,,,reviewed,55
,,,in,55
,,,The,55
,,,New,55
,,,York,55
,,,Times,55
,,,by,55
,,,John,55
,,,Leonard,55
,,,",",55
,,,who,55
Q560307_173,EVENT,4fcEH0CPgd,praised,55
Q560307_174,ENTITY,xlgiCah6fH,Morrison,55
Q560307_175,ENTITY,xlgiCah6fH,'s,55
Q560307_176,ENTITY,xlgiCah6fH,writing,55
Q560307_177,ENTITY,xlgiCah6fH,style,55
