token,ent,sent
authorities,0,22
do,0,22
you,ENTITY,22
think,0,22
so,0,22
confident,0,22
uh,0,23
that,0,23
she,0,23
is,0,23
with,0,23
him,0,23
/?,0,23
I,ENTITY,24
think,0,24
that,0,24
they,0,24
were,0,24
seen,0,24
together,0,24
in,0,24
Richmond,0,24
um,0,24
either,0,25
Monday,0,25
or,0,25
Tuesday,0,25
/.,0,25
Uh,0,26
she,0,26
was,0,26
missing,0,26
on,0,26
a,0,26
Sunday,0,26
/.,0,26
and,0,27
I,ENTITY,27
think,0,27
Monday,0,27
or,0,27
Tuesday,0,27
she,0,27
was,0,27
seen,0,27
in,0,27
Richmond,0,28
with,0,28
him,0,28
/.,0,28
and,0,29
the,0,29
person,0,29
who,0,29
observed,0,29
them,0,29
called,0,29
the,0,29
police,0,29
/.,0,29
You,0,30
know,0,30
so,0,30
it,0,30
was,0,30
a,0,30
tip,0,30
to,0,30
the,0,30
police,0,30
/.,0,31
And,0,32
is,0,32
the,0,32
belief,0,32
that,0,32
they,0,32
met,0,32
online,0,32
somehow,0,32
and,0,32
set,0,33
up,0,33
a,0,33
meeting,0,33
/?,0,33
Yes,0,34
yes,0,34
/.,0,34
Well,0,35
well,0,35
yes,0,35
I,ENTITY,35
think,0,35
the,0,35
belief,0,35
is,0,35
that,0,35
they,0,35
met,0,36
online,0,36
/.,0,36
and,0,37
um,0,37
you,0,37
know,0,37
they,0,37
have,0,37
taken,0,37
all,0,37
that,0,37
information,0,37
off,0,38
our,0,38
computer,0,38
/.,0,38
and,0,39
we,0,39
have,0,39
seen,0,39
small,0,39
portions,0,39
of,0,39
the,0,39
conversations,0,39
that,0,39
they,0,40
had,0,40
together,0,40
some,0,40
of,0,40
which,0,40
indicate,0,40
that,0,40
they,0,40
were,0,40
planning,0,40
to,0,40
meet,0,40
/.,0,40
but,0,41
there,0,41
was,0,41
no,0,41
indication,0,41
that,0,41
they,0,41
were,0,41
planning,0,41
to,0,41
meet,0,42
that,0,42
Sunday,0,42
morning,0,42
/.,0,42
So,0,43
in,0,43
other,0,43
words,0,43
you,0,43
know,0,43
when,0,43
she,0,43
woke,0,43
up,0,43
went,0,44
out,0,44
and,0,44
walked,0,44
her,0,44
dog,0,44
she,0,44
did,0,44
n't,0,44
take,0,44
anything,0,44
with,0,44
her,0,44
like,0,44
keys,0,44
her,0,44
purse,0,44
her,0,44
money,0,44
or,0,44
clothing,0,44
you,0,44
know,0,44
or,0,44
anything,0,44
like,0,44
that,0,44
/.,0,44
So,0,45
you,0,45
know,0,45
we,0,45
do,0,45
realize,0,45
that,0,45
there,0,45
are,0,45
these,0,45
um,0,46
transcripts,0,46
of,0,46
some,0,46
conversations,0,46
that,0,46
they,0,46
had,0,46
but,0,46
apparently,0,46
nothing,0,46
that,0,46
indicated,0,46
that,0,46
that,0,46
morning,0,46
they,0,46
were,0,46
planning,0,46
to,0,46
meet,0,46
/.,0,46
any,0,47
of,0,47
Monica,0,47
's,0,47
friends,0,47
able,0,47
to,0,47
provide,0,47
any,0,47
other,0,47
information,0,48
/?,0,48
No,0,49
we,0,49
have,0,49
talked,0,49
to,0,49
everyone,0,49
/.,0,49
and,0,50
they,0,50
are,0,50
stunned,0,50
because,0,50
you,0,50
know,0,50
she,0,50
saw,0,50
them,0,50
every,0,51
day,0,51
",",0,51
she,0,51
talked,0,51
to,0,51
them,0,51
but,0,51
she,0,51
did,0,51
n't,0,51
say,0,51
anything,0,51
about,0,51
this,0,51
/.,0,51
All,0,52
right,0,52
well,0,52
look,0,52
this,0,52
is,0,52
one,0,52
of,0,52
these,0,52
cases,0,52
where,0,53
we,0,53
do,0,53
n't,0,53
just,0,53
have,0,53
to,0,53
look,0,53
back,0,53
where,0,53
we,0,53
can,0,53
actually,0,53
look,0,53
forward,0,53
and,0,53
hope,0,53
that,0,53
someone,0,53
has,0,53
seen,0,53
her,0,53
and,0,53
can,0,53
call,0,53
the,0,53
authorities,0,53
/.,0,53
That,0,54
's,0,54
why,0,54
um,0,54
Linda,ENTITY,54
's,0,54
taken,0,54
the,0,54
time,0,54
to,0,54
came,0,55
on,0,55
the,0,55
program,0,55
/.,0,55
Eight,0,56
oh,0,56
four,0,56
six,0,56
four,0,56
six,0,56
six,0,56
seven,0,56
six,0,56
four,0,56
that,0,57
's,0,57
the,0,57
number,0,57
uh,0,57
if,0,57
you,0,57
've,0,57
seen,0,57
her,0,57
/.,0,57
and,0,58
we,0,58
showed,0,58
you,0,58
the,0,58
picture,0,58
um,0,58
of,0,58
the,0,58
man,0,58
that,0,59
she,0,59
is,0,59
uh,0,59
suspected,0,59
of,0,59
being,0,59
with,0,59
Jeffrey,0,59
Nichols,0,59
/.,0,59
Thank,0,60
you,ENTITY,60
very,0,60
much,0,60
uh,0,60
Ms.,ENTITY,60
Sharp,0,60
/.,0,60
and,0,61
uh,0,61
good,0,61
luck,0,61
to,0,61
you,ENTITY,61
/.,0,61
Thank,0,62
you,0,62
/.,0,62
thank,0,63
you,0,63
/.,0,63
