token,label,_id,sentence
moved,EVENT,Q560307_46,13
to,-,-,13
New,-,-,13
York,-,-,13
City,-,-,13
and,-,-,13
co,-,-,13
-,-,-,13
founded,EVENT,Q560307_47,13
with,-,-,13
Walter,-,-,13
Bowart,-,-,13
the,-,-,13
East,-,-,13
Village,-,-,13
Other,-,-,13
",",-,-,13
which,-,-,13
became,-,-,13
a,-,-,13
well,-,-,13
-,-,-,13
known,-,-,13
underground,-,-,13
publication,-,-,13
.,-,-,13
He,ENTITY,Q560307_54,14
was,REL,Q560307_49,14
also,-,-,14
a,-,-,14
member,EVENT,Q560307_50,14
of,-,-,14
the,-,-,14
Umbra,-,-,14
Writers,-,-,14
Workshop,-,-,14
",",-,-,14
some,-,-,14
of,-,-,14
whose,-,-,14
members,-,-,14
helped,-,-,14
establish,-,-,14
the,-,-,14
Black,ENTITY,Q560307_145,14
Arts,-,-,14
Movement,-,-,14
and,-,-,14
promoted,-,-,14
a,-,-,14
Black,-,-,14
Aesthetic,-,-,14
.,-,-,14
Although,-,-,15
Reed,-,-,15
never,EVENT-MOD,Q560307_53,15
participated,EVENT,Q560307_51,15
in,-,-,15
that,-,-,15
movement,-,-,15
",",-,-,15
he,ENTITY,Q560307_58,15
has,-,-,15
continued,EVENT,Q560307_55,15
to,-,-,15
research,EVENT,Q560307_56,15
the,-,-,15
history,-,-,15
of,-,-,15
black,-,-,15
Americans,-,-,15
.,-,-,15
While,-,-,16
working,EVENT,Q560307_57,16
on,-,-,16
his,ENTITY,Q560307_60,16
novel,-,-,16
Flight,-,-,16
to,-,-,16
Canada,-,-,16
(,-,-,16
1976,-,-,16
),-,-,16
",",-,-,16
he,-,-,16
coined,EVENT,Q560307_59,16
the,-,-,16
term,-,-,16
"""",ENTITY,Q560307_449,16
Neo,-,-,16
-,-,-,16
Slave,-,-,16
narrative,-,-,16
"""",-,-,16
",",-,-,16
which,-,-,16
he,ENTITY,Q560307_62,16
used,EVENT,Q560307_61,16
in,-,-,16
1984,-,-,16
in,-,-,16
"""",-,-,16
A,-,-,16
Conversation,-,-,16
with,-,-,16
Ishmael,-,-,16
Reed,-,-,16
"""",-,-,16
by,-,-,16
Reginald,-,-,16
Martin,-,-,16
.,-,-,16
During,-,-,17
this,-,-,17
time,-,-,17
Reed,ENTITY,Q560307_71,17
also,-,-,17
made,REL,Q560307_63,17
connections,EVENT,Q560307_64,17
with,-,-,17
musicians,-,-,17
and,-,-,17
poets,-,-,17
such,-,-,17
as,-,-,17
Sun,-,-,17
Ra,-,-,17
",",-,-,17
Cecil,-,-,17
Taylor,-,-,17
",",-,-,17
and,-,-,17
Albert,-,-,17
Ayler,-,-,17
",",-,-,17
which,-,-,17
contributed,EVENT,Q560307_65,17
to,-,-,17
Reed,ENTITY,Q560307_68,17
’s,ENTITY,Q560307_77,17
vast,-,-,17
experimentation,EVENT,Q560307_70,17
with,-,-,17
jazz,-,-,17
and,-,-,17
his,ENTITY,Q560307_80,17
love,-,-,17
for,-,-,17
music,-,-,17
.,-,-,17
In,-,-,18
1970,-,-,18
",",-,-,18
Reed,-,-,18
moved,EVENT,Q560307_72,18
to,-,-,18
the,-,-,18
West,-,-,18
Coast,-,-,18
to,-,-,18
begin,EVENT,Q560307_73,18
teaching,EVENT,Q560307_74,18
at,-,-,18
the,-,-,18
University,-,-,18
of,-,-,18
California,-,-,18
",",-,-,18
Berkeley,-,-,18
",",-,-,18
where,-,-,18
he,-,-,18
taught,EVENT,Q560307_75,18
for,-,-,18
35,-,-,18
years,-,-,18
.,-,-,18
Retired,EVENT,Q560307_78,19
from,-,-,19
there,-,-,19
in,-,-,19
2005,-,-,19
",",-,-,19
he,-,-,19
is,-,-,19
serving,EVENT,Q560307_79,19
as,-,-,19
a,-,-,19
Distinguished,-,-,19
Professor,-,-,19
at,-,-,19
California,-,-,19
College,-,-,19
of,-,-,19
the,-,-,19
Arts,-,-,19
.,-,-,19
He,-,-,20
lives,EVENT,Q560307_81,20
in,-,-,20
Oakland,-,-,20
",",-,-,20
California,-,-,20
",",-,-,20
with,-,-,20
his,-,-,20
wife,-,-,20
of,-,-,20
more,-,-,20
than,-,-,20
50,-,-,20
years,-,-,20
",",-,-,20
Carla,-,-,20
Blank,-,-,20
",",-,-,20
a,-,-,20
noted,-,-,20
author,-,-,20
",",-,-,20
choreographer,-,-,20
",",-,-,20
and,-,-,20
director,-,-,20
.,-,-,20
His,ENTITY,Q560307_85,21
late,-,-,21
daughter,-,-,21
",",-,-,21
Timothy,-,-,21
Reed,ENTITY,Q560307_623,21
",",-,-,21
dedicated,EVENT,Q560307_82,21
her,-,-,21
semi,-,-,21
-,-,-,21
autobiographical,-,-,21
book,-,-,21
Showing,-,-,21
Out,-,-,21
(,-,-,21
Thunder,-,-,21
's,-,-,21
Mouth,-,-,21
Press,-,-,21
",",-,-,21
2003,-,-,21
),-,-,21
to,-,-,21
him,-,-,21
.,-,-,21
His,ENTITY,Q560307_103,22
archives,ENTITY,Q560307_87,22
are,-,-,22
held,EVENT,Q560307_90,22
by,-,-,22
the,-,-,22
Special,-,-,22
Collections,-,-,22
at,-,-,22
the,-,-,22
University,-,-,22
of,-,-,22
Delaware,-,-,22
in,-,-,22
Newark,-,-,22
.,-,-,22
Ishmael,-,-,23
Reed,-,-,23
:,-,-,23
An,-,-,23
Exhibition,-,-,23
",",-,-,23
curated,-,-,23
by,-,-,23
Timothy,-,-,23
D.,-,-,23
Murray,-,-,23
",",-,-,23
was,-,-,23
shown,-,-,23
at,-,-,23
the,-,-,23
University,-,-,23
of,-,-,23
Delaware,-,-,23
Library,-,-,23
from,-,-,23
August,-,-,23
16,-,-,23
to,-,-,23
December,-,-,23
16,-,-,23
",",-,-,23
2007,-,-,23
.,-,-,23
In,-,-,24
1960,-,-,24
",",-,-,24
Reed,-,-,24
married,EVENT,Q560307_91,24
Priscilla,-,-,24
Thompson,ENTITY,Q560307_95,24
.,-,-,24
Their,-,-,25
daughter,-,-,25
",",-,-,25
Timothy,-,-,25
(,-,-,25
1960–2021,-,-,25
),-,-,25
",",-,-,25
was,-,-,25
born,-,-,25
the,-,-,25
same,-,-,25
year,-,-,25
.,-,-,25
Reed,-,-,26
and,-,-,26
Thompson,ENTITY,Q560307_101,26
later,-,-,26
divorced,EVENT,Q560307_102,26
.,-,-,26
Since,-,-,27
1970,-,-,27
",",-,-,27
he,-,-,27
has,-,-,27
been,-,-,27
married,EVENT,Q560307_104,27
to,-,-,27
writer,-,-,27
and,-,-,27
teacher,-,-,27
Carla,-,-,27
Blank,-,-,27
.,-,-,27
Their,-,-,28
daughter,-,-,28
",",-,-,28
Tennessee,-,-,28
",",-,-,28
is,-,-,28
also,-,-,28
an,-,-,28
author,-,-,28
.,-,-,28
Reed,-,-,29
's,-,-,29
published,-,-,29
works,-,-,29
include,-,-,29
12,-,-,29
novels,ENTITY,Q560307_401,29
",",-,-,29
of,-,-,29
which,-,-,29
The,ENTITY,Q560307_265,29
Terrible,-,-,29
Fours,-,-,29
",",-,-,29
the,-,-,29
third,-,-,29
in,-,-,29
his,-,-,29
"""",-,-,29
Terribles,ENTITY,Q560307_676,29
"""",-,-,29
series,ENTITY,Q560307_678,29
",",-,-,29
was,-,-,29
published,EVENT,Q560307_105,29
by,-,-,29
Baraka,-,-,29
Books,-,-,29
of,-,-,29
Montreal,-,-,29
in,-,-,29
June,-,-,29
2021,-,-,29
.,-,-,29
Among,-,-,30
his,-,-,30
other,-,-,30
books,ENTITY,Q560307_326,30
are,-,-,30
seven,-,-,30
collections,-,-,30
of,-,-,30
poetry,ENTITY,Q560307_403,30
",",-,-,30
including,-,-,30
Why,ENTITY,Q560307_106,30
the,-,-,30
Black,-,-,30
Hole,ENTITY,Q560307_146,30
Sings,ENTITY,Q560307_147,30
the,-,-,30
Blues,ENTITY,Q560307_149,30
:,-,-,30
Poems,ENTITY,Q560307_151,30
2006–2019,ENTITY,Q560307_152,30
",",-,-,30
released,EVENT,Q560307_243,30
by,-,-,30
Dalkey,-,-,30
Archive,-,-,30
Press,-,-,30
in,-,-,30
November,-,-,30
2020,-,-,30
;,-,-,30
11,-,-,30
collections,-,-,30
of,-,-,30
essays,ENTITY,Q560307_405,30
",",-,-,30
with,-,-,30
the,-,-,30
most,-,-,30
recent,ENTITY,Q560307_728,30
",",-,-,30
Why,-,-,30
No,ENTITY,Q560307_107,30
Confederate,ENTITY,Q560307_108,30
Statues,ENTITY,Q560307_109,30
in,-,-,30
Mexico,ENTITY,Q560307_111,30
",",-,-,30
released,EVENT,Q560307_142,30
by,-,-,30
Baraka,-,-,30
Books,-,-,30
in,-,-,30
September,-,-,30
2019,-,-,30
;,-,-,30
one,-,-,30
farce,-,-,30
",",-,-,30
Cab,-,-,30
Calloway,-,-,30
Stands,-,-,30
In,-,-,30
for,-,-,30
the,-,-,30
Moon,-,-,30
or,-,-,30
The,-,-,30
Hexorcism,-,-,30
of,-,-,30
Noxon,-,-,30
D,-,-,30
Awful,-,-,30
(,-,-,30
1970,-,-,30
),-,-,30
;,-,-,30
two,-,-,30
librettos,-,-,30
",",-,-,30
Gethsemane,-,-,30
Park,-,-,30
and,-,-,30
in,-,-,30
collaboration,-,-,30
with,-,-,30
Colleen,-,-,30
McElroy,-,-,30
The,-,-,30
Wild,-,-,30
Gardens,-,-,30
of,-,-,30
the,-,-,30
Loop,-,-,30
Garoo,-,-,30
;,-,-,30
a,-,-,30
sampler,-,-,30
collection,-,-,30
",",-,-,30
The,-,-,30
Reed,-,-,30
Reader,-,-,30
(,-,-,30
2000,-,-,30
),-,-,30
;,-,-,30
two,-,-,30
travelogues,-,-,30
",",-,-,30
of,-,-,30
which,-,-,30
the,-,-,30
most,-,-,30
recent,-,-,30
is,-,-,30
Blues,-,-,30
City,-,-,30
:,-,-,30
A,-,-,30
Walk,-,-,30
in,-,-,30
Oakland,-,-,30
(,-,-,30
2003,-,-,30
),-,-,30
;,-,-,30
and,-,-,30
six,-,-,30
plays,-,-,30
",",-,-,30
collected,-,-,30
by,-,-,30
Dalkey,-,-,30
Archive,-,-,30
Press,-,-,30
as,-,-,30
Ishmael,-,-,30
Reed,-,-,30
",",-,-,30
The,-,-,30
Plays,-,-,30
(,-,-,30
2009,-,-,30
),-,-,30
.,-,-,30
His,ENTITY,Q560307_308,31
seventh,ENTITY,Q560307_700,31
play,ENTITY,Q560307_701,31
",",-,-,31
The,-,-,31
Final,-,-,31
Version,-,-,31
",",-,-,31
premiered,EVENT,Q560307_244,31
at,-,-,31
New,-,-,31
York,-,-,31
City,-,-,31
's,-,-,31
Nuyorican,-,-,31
Poets,-,-,31
Café,-,-,31
in,-,-,31
December,-,-,31
2013,-,-,31
;,-,-,31
his,-,-,31
eighth,ENTITY,Q560307_708,31
",",-,-,31
Life,-,-,31
Among,-,-,31
the,-,-,31
Aryans,-,-,31
(,-,-,31
"""",-,-,31
a,-,-,31
satire,-,-,31
that,-,-,31
chronicles,-,-,31
the,-,-,31
misadventures,-,-,31
of,-,-,31
two,-,-,31
hapless,-,-,31
revolutionaries,-,-,31
"""",-,-,31
),-,-,31
",",-,-,31
had,REL,Q560307_246,31
a,-,-,31
staged,-,-,31
reading,EVENT,Q560307_245,31
in,-,-,31
2017,-,-,31
at,-,-,31
the,-,-,31
Nuyorican,-,-,31
Poets,-,-,31
Café,-,-,31
and,-,-,31
a,-,-,31
full,-,-,31
production,-,-,31
in,-,-,31
2018,-,-,31
.,-,-,31
Reed,-,-,32
's,ENTITY,Q560307_312,32
ninth,ENTITY,Q560307_713,32
play,-,-,32
",",-,-,32
The,-,-,32
Haunting,-,-,32
of,-,-,32
Lin,-,-,32
-,-,-,32
Manuel,-,-,32
Miranda,-,-,32
",",-,-,32
premiered,EVENT,Q560307_247,32
on,-,-,32
May,-,-,32
23,-,-,32
",",-,-,32
2019,-,-,32
",",-,-,32
at,-,-,32
the,-,-,32
Nuyorican,-,-,32
Poets,-,-,32
Café,-,-,32
.,-,-,32
Archway,-,-,33
Editions,-,-,33
",",-,-,33
an,-,-,33
imprint,-,-,33
of,-,-,33
powerHouse,-,-,33
Cultural,-,-,33
Entertainment,-,-,33
",",-,-,33
published,EVENT,Q560307_248,33
the,-,-,33
script,ENTITY,Q560307_250,33
in,-,-,33
October,-,-,33
2020,-,-,33
.,-,-,33
His,ENTITY,Q560307_314,34
most,-,-,34
recent,-,-,34
play,ENTITY,Q560307_706,34
",",-,-,34
The,-,-,34
Slave,-,-,34
Who,-,-,34
Loved,-,-,34
Caviar,-,-,34
",",-,-,34
received,EVENT,Q560307_253,34
a,-,-,34
virtual,-,-,34
reading,-,-,34
premiere,EVENT,Q560307_254,34
in,-,-,34
March,-,-,34
2021,-,-,34
and,-,-,34
a,-,-,34
full,-,-,34
production,-,-,34
will,-,-,34
premiere,EVENT,Q560307_255,34
at,-,-,34
the,-,-,34
Off,-,-,34
Broadway,-,-,34
venue,-,-,34
",",-,-,34
Theater,-,-,34
for,-,-,34
the,-,-,34
New,-,-,34
City,-,-,34
",",-,-,34
December,-,-,34
23,-,-,34
",",-,-,34
2021,-,-,34
.,-,-,34
His,ENTITY,Q560307_741,35
most,ENTITY,Q560307_739,35
recent,-,-,35
nonfiction,-,-,35
works,-,-,35
are,-,-,35
Malcolm,ENTITY,Q560307_257,35
and,-,-,35
Me,ENTITY,Q560307_259,35
",",-,-,35
an,-,-,35
audiobook,-,-,35
narrated,-,-,35
by,-,-,35
Reed,ENTITY,Q560307_317,35
and,-,-,35
released,EVENT,Q560307_256,35
by,-,-,35
Audible,-,-,35
in,-,-,35
2020,-,-,35
",",-,-,35
and,-,-,35
The,-,-,35
Complete,ENTITY,Q560307_266,35
Muhammad,ENTITY,Q560307_267,35
Ali,ENTITY,Q560307_268,35
",",-,-,35
published,EVENT,Q560307_281,35
by,-,-,35
Baraka,-,-,35
Books,-,-,35
of,-,-,35
Montreal,-,-,35
in,-,-,35
2015,-,-,35
.,-,-,35
Audible,-,-,36
released,EVENT,Q560307_282,36
Reed,ENTITY,Q560307_319,36
's,-,-,36
new,-,-,36
short,ENTITY,Q560307_286,36
story,ENTITY,Q560307_287,36
",",-,-,36
The,-,-,36
Fool,-,-,36
Who,-,-,36
Thought,-,-,36
Too,-,-,36
Much,-,-,36
",",-,-,36
in,-,-,36
November,-,-,36
2020,-,-,36
.,-,-,36
Reed,-,-,37
has,-,-,37
also,-,-,37
edited,EVENT,Q560307_309,37
15,-,-,37
anthologies,-,-,37
",",-,-,37
the,-,-,37
most,-,-,37
recent,ENTITY,Q560307_740,37
being,-,-,37
Black,-,-,37
Hollywood,-,-,37
Unchained,-,-,37
(,-,-,37
2015,-,-,37
),-,-,37
.,-,-,37
Bigotry,-,-,38
on,-,-,38
Broadway,-,-,38
",",-,-,38
co,-,-,38
-,-,-,38
edited,EVENT,Q560307_310,38
with,-,-,38
Carla,-,-,38
Blank,-,-,38
",",-,-,38
is,-,-,38
forthcoming,-,-,38
from,-,-,38
Baraka,-,-,38
Books,-,-,38
of,-,-,38
Montreal,-,-,38
in,-,-,38
September,-,-,38
",",-,-,38
2021,-,-,38
.,-,-,38
POW,-,-,39
WOW,-,-,39
",",-,-,39
Charting,-,-,39
the,-,-,39
Fault,-,-,39
Lines,-,-,39
in,-,-,39
the,-,-,39
American,-,-,39
Experience,-,-,39
—,-,-,39
Short,-,-,39
Fiction,-,-,39
from,-,-,39
Then,-,-,39
to,-,-,39
Now,-,-,39
(,-,-,39
2009,-,-,39
),-,-,39
",",-,-,39
a,-,-,39
collection,-,-,39
of,-,-,39
works,-,-,39
by,-,-,39
63,-,-,39
writers,-,-,39
",",-,-,39
co,-,-,39
-,-,-,39
edited,EVENT,Q560307_311,39
with,-,-,39
his,-,-,39
wife,-,-,39
",",-,-,39
Carla,-,-,39
Blank,-,-,39
",",-,-,39
spans,-,-,39
more,-,-,39
than,-,-,39
200,-,-,39
years,-,-,39
of,-,-,39
American,-,-,39
writing,-,-,39
.,-,-,39
In,-,-,40
his,ENTITY,Q560307_545,40
foreword,-,-,40
Reed,ENTITY,Q560307_546,40
calls,EVENT,Q560307_313,40
it,-,-,40
"""",-,-,40
a,-,-,40
gathering,-,-,40
of,-,-,40
voices,-,-,40
from,-,-,40
the,-,-,40
different,-,-,40
American,-,-,40
tribes,-,-,40
.,-,-,40
"""",-,-,40
POW,-,-,41
WOW,-,-,41
is,-,-,41
the,-,-,41
fiction,-,-,41
companion,-,-,41
anthology,-,-,41
to,-,-,41
From,-,-,41
Totems,-,-,41
to,-,-,41
Hip,-,-,41
-,-,-,41
Hop,-,-,41
:,-,-,41
A,-,-,41
Multicultural,-,-,41
Anthology,-,-,41
of,-,-,41
Poetry,-,-,41
Across,-,-,41
the,-,-,41
Americas,-,-,41
",",-,-,41
1900–2002,-,-,41
(,-,-,41
2003,-,-,41
),-,-,41
",",-,-,41
in,-,-,41
which,-,-,41
Reed,ENTITY,Q560307_548,41
endorses,EVENT,Q560307_315,41
an,-,-,41
open,-,-,41
definition,-,-,41
of,-,-,41
American,-,-,41
poetry,ENTITY,Q560307_445,41
as,-,-,41
an,-,-,41
amalgamation,-,-,41
",",-,-,41
which,-,-,41
should,-,-,41
include,-,-,41
work,-,-,41
found,-,-,41
in,-,-,41
the,-,-,41
traditional,-,-,41
Western,-,-,41
canon,-,-,41
of,-,-,41
European,-,-,41
-,-,-,41
influenced,-,-,41
American,-,-,41
poetry,-,-,41
as,-,-,41
well,-,-,41
as,-,-,41
work,-,-,41
by,-,-,41
immigrants,-,-,41
",",-,-,41
hip,-,-,41
-,-,-,41
hop,-,-,41
artists,-,-,41
",",-,-,41
and,-,-,41
Native,-,-,41
Americans,-,-,41
.,-,-,41
The,-,-,42
2013,-,-,42
Signet,-,-,42
Classic,-,-,42
edition,-,-,42
of,-,-,42
Mark,-,-,42
Twain,-,-,42
's,-,-,42
The,-,-,42
Adventures,-,-,42
of,-,-,42
Tom,-,-,42
Sawyer,-,-,42
and,-,-,42
Adventures,-,-,42
of,-,-,42
Huckleberry,-,-,42
Finn,-,-,42
features,-,-,42
a,-,-,42
new,-,-,42
afterword,EVENT,Q560307_316,42
by,-,-,42
Reed,ENTITY,Q560307_551,42
.,-,-,42
In,-,-,43
2019,-,-,43
",",-,-,43
he,-,-,43
contributed,EVENT,Q560307_318,43
forewords,-,-,43
to,-,-,43
The,-,-,43
Collected,ENTITY,Q560307_353,43
Novels,-,-,43
of,-,-,43
Charles,-,-,43
Wright,-,-,43
",",-,-,43
published,-,-,43
by,-,-,43
Harper,-,-,43
Perennial,-,-,43
;,-,-,43
Charles,-,-,43
Fréger,-,-,43
's,-,-,43
Cimarron,-,-,43
:,-,-,43
Freedom,-,-,43
and,-,-,43
Masquerade,-,-,43
(,-,-,43
Thames,-,-,43
&,-,-,43
Hudson,-,-,43
),-,-,43
;,-,-,43
and,-,-,43
Cathy,-,-,43
Jackson,-,-,43
-,-,-,43
Gent,-,-,43
's,-,-,43
Surviving,-,-,43
Financially,-,-,43
in,-,-,43
a,-,-,43
Rigged,-,-,43
System,-,-,43
(,-,-,43
Third,-,-,43
World,-,-,43
Press,-,-,43
Foundation,-,-,43
),-,-,43
.,-,-,43
His,ENTITY,Q560307_553,44
Introduction,EVENT,Q560307_320,44
to,-,-,44
The,-,-,44
Minister,-,-,44
Primarily,-,-,44
",",-,-,44
a,-,-,44
previously,-,-,44
unpublished,-,-,44
novel,-,-,44
by,-,-,44
the,-,-,44
late,-,-,44
John,-,-,44
Oliver,-,-,44
Killens,-,-,44
",",-,-,44
was,-,-,44
published,EVENT,Q560307_321,44
by,-,-,44
Amistad,-,-,44
in,-,-,44
July,-,-,44
2021,-,-,44
.,-,-,44
Two,ENTITY,Q560307_322,45
of,-,-,45
Reed,-,-,45
's,-,-,45
books,ENTITY,Q560307_345,45
have,-,-,45
been,-,-,45
nominated,EVENT,Q560307_346,45
for,-,-,45
National,-,-,45
Book,-,-,45
Awards,-,-,45
",",-,-,45
and,-,-,45
a,-,-,45
book,-,-,45
of,-,-,45
poetry,-,-,45
",",-,-,45
Conjure,ENTITY,Q560307_742,45
",",-,-,45
was,-,-,45
nominated,EVENT,Q560307_347,45
for,-,-,45
a,-,-,45
Pulitzer,-,-,45
Prize,-,-,45
.,-,-,45
His,ENTITY,Q560307_555,46
New,-,-,46
and,-,-,46
Collected,-,-,46
Poems,-,-,46
",",-,-,46
1964–2007,ENTITY,Q560307_356,46
",",-,-,46
received,EVENT,Q560307_348,46
the,-,-,46
Commonwealth,-,-,46
Club,-,-,46
of,-,-,46
California,-,-,46
's,-,-,46
Gold,-,-,46
